Join,Peak,Location,Prominence_m,Height_m,Col_m
Concordia Station (Fr. and It.),,,,,
Mount Cleveland,,,,,
Kinyeti,,,,,
Mount Andrew Jackson,,,,,
Fan Si Pan,,,,,
Ayrybaba,,,,,
Redoubt Volcano,,,,,
Pico Duarte,,,,,
Trapper Peak,,,,,
Qurnat as Sawd─ü,,,,,
Kyrkjeskipet Peak,,,,,
Gunung Ciremay,,,,,
Pik BAM,,,,,
Kizlar Sivrisi,,,,,
Picacho del Diablo,,,,,
Piton des Neiges,,,,,
Wutai Shan,,,,,
Haleakal─ü,,,,,
Mount Victoria,,,,,
Jabal Marrah,,,,,
Jabal Shams,,,,,
Fuyul Sojol,,,,,
Gunung Binaiya,,,,,
Ulysses Mountain,,,,,
Mount Seelig,,,,,
Soira,,,,,
Tate-yama,,,,,
Pico da Neblina,,,,,
Mount Oku,,,,,
Pico de Santa Isabel,,,,,
Sapitwa Peak,,,,,
Ras Koh,,,,,
Gora Pobeda,,,,,
Jabal Sawd─ü,,,,,
Sacajawea Peak,,,,,
Gora Tastau,,,,,
Longnawan,,,,,
Tata Mailau,,,,,
Abongabong,,,,,
Mtorwi,,,,,
Mount Roosevelt,,,,,
Gunung Umsini,,,,,
Gunung Merapi,,,,,
Zugspitze,,,,,
Kuh-e Nay Band,,,,,
Cerro Viejo,,,,,
Gora Mus-Khaya,,,,,
Mount Apo,,,,,
Keele Peak,,,,,
Pic de Coma Pedrosa,,,,,
Kuh-e Ruzeh,,,,,
Fishers Peak,,,,,
Pulog,,,,,
Musala,,,,,
Mount Olympus,,,,,
Mount Paget,,,,,
Corno Grande,,,,,
Tahat,,,,,
Grandiozny Peak,,,,,
Pico da Bandeira,,,,,
Mount Tapuaenuku,,,,,
Maromokotro,,,,,
Triglav,,,,,
Cerro Las Minas,,,,,
Volca├ín Villarrica,,,,,
Cerro Marahuaca,,,,,
Mount McMaster,,,,,
Phou Bia,,,,,
Pico de Cano,,,,,
